x,y,u,v,p
0.07,0.05,-0.000912978,0.000755235,-0.0201953
0.08,0.05,-0.00128079,0.00095175,-0.020298
0.09,0.05,-0.00171521,0.00114473,-0.0204036
0.1,0.05,-0.00221457,0.00133061,-0.0205098
0.11,0.05,-0.00277628,0.00150692,-0.020615
0.12,0.05,-0.00339705,0.00167198,-0.0207172
0.13,0.05,-0.00407311,0.00182474,-0.0208151
0.14,0.05,-0.00480037,0.0019646,-0.0209074
0.15,0.05,-0.00557452,0.00209131,-0.0209929
0.16,0.05,-0.00639113,0.00220488,-0.0210706
0.17,0.05,-0.00724576,0.00230549,-0.0211398
0.18,0.05,-0.00813398,0.00239344,-0.0211997
0.19,0.05,-0.00905142,0.0024691,-0.0212497
0.2,0.05,-0.0099938,0.0025329,-0.0212893
0.21,0.05,-0.0109569,0.00258527,-0.0213182
0.22,0.05,-0.0119368,0.00262664,-0.0213359
0.23,0.05,-0.0129294,0.00265743,-0.0213423
0.24,0.05,-0.013931,0.002678,-0.021337
